nr,pre,match-2,match-1,match,match+1,match+2,post,category,Givenness,Factuality,Type,Focus,id,display_as,party_x,constituency_x,mnis_id,date,time,colnum,speech_class,major_heading,minor_heading,oral_heading,year,hansard_membership_id,speakerid,person_id,speakername,url,name,party_y,constituency_y,year_of_birth,gender,MP,Filename,All_tokens,Word_tokens
529,"  do not involve separate countries or countries that, like the Baltic states at present, are part of another country de facto, but not ",de ,jure. ,It ,is ,to ,resolve those differences that we wish to set up the conciliation and assessment of conflicts centre to see precisely what can be done ,c,part.giv,fact,IP,clause,19901121a306_2,Margaret Thatcher,Conservative,Finchley,953,33198,0.645833333,306,Speech,CSCE Summit,,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901121a306_2,153,141
532," . Gentleman knows that all the applications have been put on one side. We are prepared to operate the full association agreement, including the ",financial ,protocol. ,It ,is ,Greece ,which blocks the financial protocol. It has therefore deprived Turkey of a good deal of the help that would otherwise have been very ,c,act.giv,fact,canonical,NP,19901121a309_4,Margaret Thatcher,Conservative,Finchley,953,33198,0.645833333,309,Speech,CSCE Summit,,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901121a309_4,116,105
533,  growth to resume next year. For the fundamentals are right. Our industry is now enterprising. It has been modernised and restructured. In sector ,after ,"sector, ",it ,is ,our ,"companies which lead the world â€” in pharmaceuticals, in telecommunications and in aerospace. Our companies have the freedom and talent to succeed â€” and the ",c,new,fact,IP,NP,19901122a448_6,Margaret Thatcher,Conservative,Finchley,953,33199,0.701388889,448,Speech,Confidence in Her Majesty's Government,,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901122a448_6,205,173
536," , too. I wish to say a word or two about the situation in the Gulf, because it will dominate politics until the matter ",is ,resolved. ,It ,is ,principle ,"which is at stake, as well as the rule of international law. In my discussions with other Heads of Government at the CSCE ",c,new,nonfact,IP,NP,19901122a452_5,Margaret Thatcher,Conservative,Finchley,953,33199,0.701388889,452,Speech,Confidence in Her Majesty's Government,,,1990,3750,uk.org.publicwhip/member/21302,,The Prime Minister,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19901122a452_5,210,190
538,"  were. We won many battles, and as we finished the battles, the position was far, far better for Britain than it was when ",we ,started. ,It ,is ,by ,staying in the centre that we can press the case for free trade through the general agreement on tariffs and trade and for ,c,new,fact,IP,adv,19910626a1026_0,Margaret Thatcher,Conservative,Finchley,953,33415,0.734722222,1026,Speech,European Community,,,1991,3750,uk.org.publicwhip/member/21302,,Mrs. Margaret Thatcher,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19910626a1026_0,1366,1229
540,"  than the rest of us. They are not; they are just more federal. There is nothing specifically European about a federal structure â€” indeed, ",the ,opposite: ,it ,is ,the ,nation state which is European. It has been the great achievement of the Community to bring about greater co-operation between those nation ,c,act.giv,fact,canonical,NP,19910626a1028_1,Margaret Thatcher,Conservative,Finchley,953,33415,0.734722222,1028,Speech,European Community,,,1991,3750,uk.org.publicwhip/member/21302,,Mrs. Thatcher,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19910626a1028_1,494,447
543,"  are the rights of the British people to govern themselves under their own laws, made by their own Parliament. It has rightly been ",said ,that ,it ,is ,the ,"character of a people which determines the institutions which govern them, and not the institutions which give people their character. Yes, it is ",c,act.giv,fact,canonical,NP,19911120a292_7,Margaret Thatcher,Conservative,Finchley,953,33562,0.704861111,292,Speech,European Community (Intergovernmental Conferences),,,1991,3750,uk.org.publicwhip/member/21302,,Mrs. Thatcher,,Margaret Thatcher,Conservative,Finchley,1925,female,MargaretThatcher,19911120a292_7,369,337
566,"  trading standards department of the Welsh counties carried out a trial recently, it found that a third of the lorries on the road ",were ,overloaded. ,It ,is ,overloaded ,"or badly loaded lorries that have shaken the bridge into early senility, and costs have mounted â€” not because of the price of building ",c,inact.giv,fact,canonical,NP,19920506a151_0,Paul Flynn,Labour,Newport West,545,33730,0.913194444,151,Speech,Severn Bridge (Toll Charges),,,1992,4243,uk.org.publicwhip/member/2700,,Mr. Paul Flynn,,Paul Flynn,Labour,Newport West,1935,male,PaulFlynn,19920506a151_0,766,698
323," that is done at the right value. That is what we have done, and we have done it with a latitude of 6 per cent. That should be perfectly enough to accommodate any swings in the", exchange ,rate. ,It ,is ,if ,"one moves to a single locked currency that one gets enormous difficulties, because there is no latitude to vary the currency. Therefore, any difficulties in the monetary or economic system have to go either to ",c,new,nonfact,IP,clause,19910626a1031_1.txt,Margaret Thatcher,Conservative,,,,,,,,,,,,,,,,,,,,,,,,
297,"  economies become strong enough. However, we also want to preserve our national currency and the sovereignty of this House of Commons. That, I believe, is what Britain's interests require and what the people of ",Britain ,want. ,It ,is ,by ,"setting out clearly what we believe in that we stand up for Britain's interests — as this Government have done over our budget contribution, over agricultural surpluses, over the single market and, most recently, over ",c,act.giv,fact,canonical,adv,19901107a32_1.txt,Margaret Thatcher,Conservative,,,,,,,,,,,,,,,,,,,,,,,,
