nr,pre,match-2,match-1,match,match+1,match+2,post,master_category,notes,Givenness,Factuality,Type,Focus,id,title,n_words,n_tokens,n_w,n_c,n_s,publication_date,text_type,context,respondent_age,respondent_class,respondent_sex,interaction_type,region,author_age,author_domicile,author_sex,author_type,audience_age,domain,difficulty,medium,publication_place,sampling_type,circulation,audience_sex,availability,mode,derived_type,genre,cat_annotator1,cat_annotator2,decision
362,"  And in twelve years as an experienced shop steward, I can only recall having a full time officer in I think on three occasions. And as I say, the more competent the stewards' committee became, the less frequent that it was necessary to have the sh the full time officers in. Er if I may say ","so, ",erm ,it ,was ,early ,"in our career that er in my career that er along with the shop stewards, we disagreed in principle with the management on an annual wage increase. Er and I think it was about nineteen sixty two or thereabouts. And er I was determined that er we wouldn't lose hold of this claim because it ",c,"(the relation between workers and management was mentioned, but the statement on disagreeing on wage increase is new.)",part.giv,fact,IP,adv,GYV,"Oral history project, Scotland: interview. Sample containing about 12200 words speech recorded in leisure context",12126,13588,12321,1212,428,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
364,"  ground to a halt and there was a meeting and therefore we put the point to the management that er if they didn't really in a reasonable manner, then we were going. But we resolved it and er happily the divisional organizer resolved it er I would say in about twenty minutes when he came ",down. ,But ,it    ,was ,with ,"the pressure of the membership behind him that did it. Were the, the stewards formally involved in disciplinary procedure? Erm we didn't have what was known nowadays as a formal disciplinary procedure. Erm disciplinary procedures are now written into agreements with the unions. Erm but in these days erm I think that managements were in ",c,(I interpret the with here  as a false start. Without the with it is a straightforward NP-focus cleft: the pressure … did it),act.giv,un,canonical,un,GYV,"Oral history project, Scotland: interview. Sample containing about 12200 words speech recorded in leisure context",12126,13588,12321,1212,428,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,n,,
366,  with corrugated iron roofs. And it made a long garage. A deep garage. And then in these days there were pits for going underneath the cars er dug into the ground so as you could get underneath the cars. There were no lifts lifting the cars up at that time. What year did your fathers er ,cy ,wh ,it ,was ,really ,a bicycle shop that he had but i  Yes. erm did he tr er make it into a garage? I should think round about nineteen hundred or nineteen hundred and one or two som it was   Was that the first in Gala? Er no. There had been a shop in  Street I which is still there ,c,"(the father's shop was already the topic of the discussion; now a new piece of information is introduced, but in the focus, not in the relative clause. So the givenness of the relative clause is act.giv)",act.giv,fact,canonical,NP,GYW,Oral history project: interview. Sample containing about 12967 words speech recorded in leisure context,12935,14609,13109,1317,606,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
374," . Mhm. Now one of the things that was on the you know there was the great Radio City Music Hall. And er oh glamorous shows they had on there. And they had a what they called the  twenty four girls dancing you know, and also they, they had the, a film in the show which probably ",I ,think ,it ,was ,a ,"Bing Crosby film that was on. V very good show. But another one, they had in another cinema across off it was just off Broadway, the Roxy I think it was, and they had Goodbye Mr Chips. That was with Robert Donat. And you know I went into that film it was just being launched in ",c,(Note the hedge 'I think'),act.giv,un,canonical,NP,GYW,Oral history project: interview. Sample containing about 12967 words speech recorded in leisure context,12935,14609,13109,1317,606,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
375,"  right enough it, it never came again completely as it,noth nothing stay the same. But er some of the exhibitions at the great er World Fair were really, there were some splendid things, although the main er theme of the thing wasn't so grandio well it was grandiose in a way but just too ",much ,so. ,It ,was ,the ,"commercialism that struck me. The railways of America, the different l er railways, they had a huge pavilion well a huge er arena open air, with a huge stage and it was the presentation of the history of the railway engine   Oops. Sorry about that. Rocket and so forth. Something similar and er they came up ",c,"(The speaker reports his opinion: that this opinion was his/her opinion is in itself an indisputable fact [unless if s/he was lying, but there's no reason to believe he is.])",new,fact,IP,NP,GYW,Oral history project: interview. Sample containing about 12967 words speech recorded in leisure context,12935,14609,13109,1317,606,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,,
380,"  and er he was known by everybody. And a very great man he was and he, before he ret he had died, he didn't reach retirement, he died before he retired which, and we missed him very much indeed. And er  I didn't have a lot to do with roads or anything like that ",or ,"education, ",it ,was ,mainly ,"welfare that was my, the, the  ",c,(not sure why the right context breaks off),un,fact,unclear,NP,GYW,Oral history project: interview. Sample containing about 12967 words speech recorded in leisure context,12935,14609,13109,1317,606,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,u,,
417,"  out newspaper and put the money into the box and er, you can't dream of that sort of thing now. You leave your door open and while, by the time you turn your er back around er something is missing. This er, this is a lot of difference. It's not er racial or something ",like ,that ,it ,was ,just ,"the general standard of the people which has so much changed. Erm  tell me about Caldmore Green itself now, erm the shops here seem to cater so well for the Asian community, er is this really so, I mean do you have everything   Yeah, erm When I bought the shop in  in nineteen sixty  -six  in ",c,EMPTY,inact.giv,un,canonical,NP,G4S,Life in Caldmore: conversation with Bhagan Singh. Sample containing about 5670 words speech recorded in leisure context,5798,6614,5845,699,339,1985-1993,spoken_context,leisure,---,---,---,monologue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
449,  fields was called the maiden sheaf. It was great thing to keep it and it was always kept and looked after until the following year. Who who got the maiden? Oh the whoever the whoever the farmer At least the it used the What would I say? The  grieve on the farm. We    didn't have ,a  ,grieve ,it ,was ,just ,my brothers that was there at the time. But the sheaf was always cut The last sheaf was cut then it was er put in the barn and kept there for the year  and    that was called the maiden sheaf. Mm. And what was the the purpose behind the custom? Oh it was just er just ,c,EMPTY,act.giv,fact,canonical,NP,G62,Oral history project interview. Sample containing about 14821 words speech recorded in leisure context,15000,16751,15059,1536,1224,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
455," , watch what you're doing and the other said to him, but I'm not driving  so. That was too  too that, That's the kind of stories there is about her neighbours. Aha. Aha. That was er Yes, two  and they were called Ogilvey, and one was  A e Alec and the other one was ",Will. ,And ,it ,was ,Alec ,"that was driving and Will  Will, he said mind where your about Alec, you'll er you'll soon be in a ditch but good's sake he said it's not me     So they were both   about the other on be the pony, that took him to the wrong house. Oh aye that's another ",c,EMPTY,inact.giv,fact,canonical,NP,G62,Oral history project interview. Sample containing about 14821 words speech recorded in leisure context,15000,16751,15059,1536,1224,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
460,  the the end of the quarter . So that they could get it for the turn of the new leaf of the quarter. That new leaf didn't going into the next quarter and  So  the turn of the leaf didn't go into the next quarter. Although you were still in the same quarter. Mm mm. ,No. ,But ,it ,wasn',t ,"everybody that could pay it, it was very hard for some people. If you let somebody else get stuff on your book, and some of them couldn't pay it, you know, you've no means of paying it . You might pay it yourself. Sometimes the people that owned the book had to pay it for ",c,(Problems with payment deadlines had already been introduced.),inact.giv,fact,canonical,NP,G63,Oral history project interview. Sample containing about 8182 words speech recorded in leisure context,8201,9173,8267,838,628,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
464," y. Mhm. You know, there was a lot of people had them and gave them out to neighbours or  not total strangers, but people that weren't really related to them. Er and they were the kind of people that sometimes found theirself in difficulties, at the end of this quarter, as it's called, ",because  ,Well ,it ,wasn',t ,"everybody that could pay it. Er people done it thinking that Och well, I've got three month to get this sorted out, you know, and then unfortunately, by the time the three months was up, they hadn't got it and Mm. it was kind of hard for them to pay it and that's ",c,EMPTY,inact.giv,fact,canonical,NP,G63,Oral history project interview. Sample containing about 8182 words speech recorded in leisure context,8201,9173,8267,838,628,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
465,"  was, they were going to  out the railway men. And at that time the railway was It was private. And the leading man of the railway union went out and bought all the shares he could get his hands on and off the railway company. And he'll not come out on strike. And that's ",And ,er ,it ,was ,the ,"railway men not coming out on strike that caused the collapse of the strike. But there wasn't much interference in in Edinburgh. As far as I can remember. I mean we could get about, we got about alright. There's    There was food and all that available. Oh no I the twenty six strike er ",c,EMPTY,part.giv,fact,IP,NP,G64,Oral history project interview. Sample containing about 5805 words speech recorded in leisure context,5906,6813,5949,776,450,1985-1993,spoken_context,leisure,---,---,---,monologue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
473,"  media when I first went down there, that opened later on, but there was the two got to be married together and then conveyed to the bank the next day, or, on the Monday if it was a Saturday or Sunday. But that sort of thing went on in those days, money was physically handled all ",the ,time. ,It ,was ,in ,"the later days that you gradually got the  the buses were then fitted with these, these safes, they've got the safes on the ticket machines on the buses, whereby every man's cash working on that bus that day went into a vault on the bus. The vaults were then changed at night or when ",c,EMPTY,part.giv,fact,IP,adv,HDL,Suffolk Sound Archive -- Ipswich Transport Project: interview. Sample containing about 11745 words speech recorded in leisure context,11860,13185,11968,1118,373,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
477," ld come on from about twelve or two and then again, perhaps from half past four till half past six. So a conductor's duty weren't very very nice then, probably three piece duties, which were spread duties but you know people thought they were bringing in a wonderful thing to be one man ",operated ,but ,it ,was ,before ,"the war that we had one man operated buses. Cos I remember the duties, there used to be a driver you would get more pay for bringing the bus, one man, so underneath each duty was just how many, how many hours he was one man and how many two men. So it's, it wasn'",c,EMPTY,act.giv,fact,canonical,adv,HDL,Suffolk Sound Archive -- Ipswich Transport Project: interview. Sample containing about 11745 words speech recorded in leisure context,11860,13185,11968,1118,373,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
480,"  manipulation, get them to a more economical run. Er, but even so the running boards did look very complicated because on one half an hour he'd probably go and do a Six A run, another one a Six B run, a Two and a Four. You can imagine that some drivers er went the wrong ","way, ",and  ,it ,was ,just ,"that they, they just didn't concentrate on the run but nowadays they seem to run all over the town. So how on earth they keep them to a schedule I do not know but I don't want to know now . What was the social life like, was there a social club? There was a ",c,"(just is a focus particle here, not the adjective)",part.giv,un,IP,adv,HDL,Suffolk Sound Archive -- Ipswich Transport Project: interview. Sample containing about 11745 words speech recorded in leisure context,11860,13185,11968,1118,373,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c/n,e,n
481,"  piece of paper, so everything was cancelled. Er as regards to the team that was gonna come down from London and I was Secretary of the Football Club at that time. said erm, oh we must have something. So I, I rang the Power Station people at Norwich and they sent up a team to open ",it. ,So ,it ,was ,in ,"nineteen thirty eight that the, the erm sports ground at Priory Heath was opened. Now erm   was the instigator of the Ipswich Interfirm Cup and erm, in those days if there was any erm going begging at Portman Road, would give them a job on the, the gangs. The electricity cable laying  to give 'em a ",c,EMPTY,new,fact,IP,adv,HDL,Suffolk Sound Archive -- Ipswich Transport Project: interview. Sample containing about 11745 words speech recorded in leisure context,11860,13185,11968,1118,373,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
486,"  they were short of typists at one time Mm. and erm we had to write to parents and er collect contributions which were overdue. Mm. How large were the, were the classes with these influx of all these,di did it boost up the numbers in the? Yes, somehow they used to accommodate them but Mm. ",you ,see ,it ,wasn',t ,"very long after that that  they were deciding somewhere in er erm, I think Whitehall that erm Suffolk should become an evacuation area. Mm. So that at that point erm, we ceased to receive evacuees and Felixstowe went to Redditch, Felixstowe Grammar School. I am talking about grammar schools actually because erm the work that I ",c,EMPTY,new,fact,IP,adv,HDM,Suffolk Sound Archive: interview. Sample containing about 11632 words speech recorded in leisure context,11600,12892,11791,972,600,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,e,e
489," schools which  were due for reor reorganization and erm Mm. resiting. Can you remember where any of the others were, on the blacklist? Er, no that was er erm, most of, most of the blacklist had been dealt with erm it had been a fair amount of erm reorganization and er rebuilding Mm. but ",erm  ,Course ,it ,was ,the ,"Butler Act of nineteen forty four which set up this three stage It was, yes. national ladder. There was grammar, erm secondary, secondary grammar, secondary technical and secondary modern Mm. but there again secondary technical erm really didn't get off the ground, Mm. erm there were  some erm secondary technical erm facilities of course at ",c,EMPTY,new,fact,IP,NP,HDM,Suffolk Sound Archive: interview. Sample containing about 11632 words speech recorded in leisure context,11600,12892,11791,972,600,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
513,"  kind of consider taking the two the next  wasn't fairly so good. Mhm. But he thought, Well that was the deal. So he stuck by it so he loosed these two  and  them down to the shore. And as soon as the the first ones forefeet touch the deck of the boat, the boat just ",disappeared ,and ,it ,was ,the ,trolls that was taking him home. And that was the last he saw of them? And that was the last he saw of them. And he didn't have to part with his cattle after all. But what would have happened to him if he'd not  taken the cattle down I don't know. that',c,EMPTY,part.giv,fact,IP,NP,HEA,Orkney Sound Archive tape OSA 55: interview for oral history project. Sample containing about 3032 words speech recorded in leisure context,3081,3462,3105,268,262,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
514,"  at all. Mm. I mind them they used to say too when  afore having a  boiled egg, you know just peedie . Insisted that they pu put the eggs  the shell. When you were peedie. Which I don't think mum entirely approved of cos she    seemed to think it was just quite proper table etiquette maybe ",but. ,And ,it ,was ,so ,that the fairies wouldn't sail away in the eggshells. Mm.   But you  Well it it was this this old wife had a a fairy that lived with her and apparently it wasn't an uncommon thing. And the fairies was  boat you see but they were kind of wandering kind of things. And this fairy ,c,EMPTY,new,fact,IP,adv,HEA,Orkney Sound Archive tape OSA 55: interview for oral history project. Sample containing about 3032 words speech recorded in leisure context,3081,3462,3105,268,262,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
520,"  that they'd been captured? No, I did not realize it. And I was only one out the family of nine that volunteered to go and none of me brothers or none of them that was all keen on the sea, they did not seem to want to go. And I went. I dunno it was ",arranged ,but ,it ,was ,a ,"a small water boat that took us down, the Flying Kestrel. Oh we left and oh we were all excited about going on what  a great big boat and it was in fact only a small water boat. And we were all enjoying it and looking forward to going to see this big ships and whatnot. ",c,EMPTY,inact.giv,fact,canonical,NP,HEC,Orkney Sound Archive tape OSA/RO/A: interview. Sample containing about 2757 words speech recorded in leisure context,2778,3115,2789,268,182,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
524,"  luckily it just took us round the side of the platform and away then. Were there quite a few vessels around at that time that were giving assistance? Well I can remember when I went Was in the water at the start, there was You could see a lot of boats coming in alongside the platform. ",But ,er ,it ,wasn',t ,long after that there was another big bang on the platform and they all sort of turned tail and went away for their own safety. Which was pretty demoralizing for us that were in the water at the time but   So at that point then did you almost give up hope that you would be rescued? ,c,EMPTY,part.giv,fact,IP,adv,HEE,Orkney Sound Archive tape OSA/RO/A: interview on `Sharing Time' show. Sample containing about 4825 words speech recorded in leisure context,4937,5335,4972,331,175,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,n,c
525,"  then, what happened the, where were you taken to after that. Well we were taken up to the standby boat which is I mean every vessel in the North Sea, every rig and installation has a boat that circles it, non stop, twenty four hours a day and I mean that The standby boat on Piper ",I ,mean ,it ,was ,the ,"the two inflatable boats off it that picked everybody up, and most folk up, and one of them was lost, they lost two of the crew off that. I think that was hit by debris off the platform. But I mean it was it that we were taken to first, and I mean thee was a ",c,"(If the relative clause is act.giv, as in this case [the interviewer just asked the question 'at that stage when you were picked up'], the cleft can't be an IP. It merely specifies who did the picking up - this is not an entirely new statement.)",act.giv,fact,canonical,NP,HEE,Orkney Sound Archive tape OSA/RO/A: interview on `Sharing Time' show. Sample containing about 4825 words speech recorded in leisure context,4937,5335,4972,331,175,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
526,"  hours a day and I mean that The standby boat on Piper I mean it was the the two inflatable boats off it that picked everybody up, and most folk up, and one of them was lost, they lost two of the crew off that. I think that was hit by debris off the platform. But ",I ,mean ,it ,was ,it ,"that we were taken to first, and I mean thee was a lot of people on it and I mean it had obviously saved a lot of lives. And er we were on that for about an hour or so and then they got rid of the the badly injured were taken off then and put ",c,EMPTY,act.giv,fact,canonical,NP,HEE,Orkney Sound Archive tape OSA/RO/A: interview on `Sharing Time' show. Sample containing about 4825 words speech recorded in leisure context,4937,5335,4972,331,175,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,n,c,n
532,"  awfully fortunate here. You've got a team of young doctors again,to see me. I think they're marvellous. We're most fortunate I think. I think the young people today, they're very kind you know. It's only an odd one I think. But mind you, people can be awkward too can't ",they. ,Erm ,it ,isn',t ,"the doctors you see that are awkward. But people can be very awkward. I only found about one say a couple of awkward people, all the twenty years I was in Rhos-y-Bol. But they were the same family the same Same people all through the years. The awkward ones. Why were they awkward? Just ",c,EMPTY,act.giv,nonfact,canonical,NP,HEL,Gwynedd County Council tape 2: interview for oral history project. Sample containing about 4489 words speech recorded in leisure context,4605,5276,4625,559,461,1975-1984,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,n,c
533,"  Plas but Michael had grabbed the the the the good looking of the parlour maid and my father had to make do with the cook. And well, it's not nice to say that a girl is fat these days, but she was all ample proportioned we'll put it like that. And she was called ",Tiny. ,But ,it ,wasn',t ,"to be the for the friendship with Tiny that my father got to have the rattling good supper that that they provided in in in the servants room. And he'd be there once or twice and then on the Wednesday evening as was his custom, he went down to  to the village, he had a ",c,(though first there is a false start. 'It wasn't for the friendship that my father had a supper.),part.giv,un,canonical,adv,HEM,Gwynedd County Council tape 4: interview for oral history project. Sample containing about 10019 words speech recorded in leisure context,10081,11183,10152,901,576,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,n,e,n
534,"  about milking or anything, but she very very soon got used to it. Erm but the most unfortunate thing that Old Edward  the the old chap who owned the place he was living in part of the house and Old Jane , his housekeeper, my mother she could bake bread and wash, her mother had taught her ","that, ",but ,it ,was ,making ,"butter that was the problem. And old Jane  said, Don't you worry my girl, er I'll make the butter for you. And my mother, they were keeping six cows there after churning, old Jane  made the butter and er taking it to  to erm Mrs  from  who used to buy my grandmother's butter ",c,"(not NP, not adverbial, but a (nominal) clause. The idea that there were problems was already introduced by 'she had no idea about X'.)",part.giv,un,canonical,clause,HEM,Gwynedd County Council tape 4: interview for oral history project. Sample containing about 10019 words speech recorded in leisure context,10081,11183,10152,901,576,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,n,n
535,"  the bike and have me sitting er on on this cushion on the f bike in front of him. He had we started out somewhere I had no idea where we were going, until we arrived at this big building with a high railing surrounding the yard and a crowd of children shouting and playing in ",the ,yard. ,It ,was ,then ,"that I realized that he was going to leave me on my own. In this building. And I had never been away from home because er too far from the village. I had never had been playing with other children. And when I realized this I started kicking and crying. And he said, Well what would ",c,EMPTY,act.giv,fact,IP,adv,HEM,Gwynedd County Council tape 4: interview for oral history project. Sample containing about 10019 words speech recorded in leisure context,10081,11183,10152,901,576,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,e,e
549,"  for pit props. And they they had bought them. And they had these two or three foresters there, cutting them up. And we could hear somebody calling and shouting. We couldn't make out what was wrong. And er they were still whistling and calling, so I went up on to the top of the bank ",and ,they  ,it ,was ,this ,"plantation that fell down in the warren and caught fire. Somebody had been picnicking there do you see, in the warren and left some bottles there. And of course the sun caught the bottles and set the fire to the undergrowth of the grass do you see. And it was all peat. All these trees had ",c,EMPTY,inact.giv,fact,canonical,NP,HER,Gwynedd County Council tape 11: interview for oral history project. Sample containing about 7917 words speech recorded in leisure context,7904,9288,7974,1123,674,1975-1984,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,n,c
552," 's job and that was my job, I used to sort of go across and fetch this tea  and have it ready by the time the men gave up work at nine o'clock. But er I used to go  I didn't eat with the men you weren't allowed to eat with the men ",you ,"see, ",it ,was ,only ,"the full men that sat round this table well That was   Half about eight of them you see. Well it was the same  no distinction at all in that sense, but er you know we were sort of they had more serious things to talk about than I wan er you know I knew the cook, ",c,EMPTY,act.giv,fact,canonical,NP,HES,Gwynedd County Council tape 12: interview for oral history project. Sample containing about 7785 words speech recorded in leisure context,7861,8801,7940,623,450,1975-1984,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
557,"  allowed to wait for it cos it was gonna take  peddled all the way back to do something else. And the next day I picked it up and of course it was ten shillings, my full  Week's wages. Yes . week's er wages and erm and I'd deservedly so, it was my own damn ",fault. ,Mhm. ,It ,was ,years ,"later that my cousin  who dies some years ago, he was ninety two. Told me that at just about the same age, he did the same thing to try and impress the then girl in in the office. So anyway that was one of the reasons, when I found that  Brothers was slowly going out of ",c,EMPTY,new,fact,IP,adv,HET,Gwynedd County Council tape 13: interview for oral history project. Sample containing about 7235 words speech recorded in leisure context,7291,8392,7363,805,567,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
558," rothers papers that he had control over  Mm. to the National er Library. Library in Wales. And I understand that  have given you the balance here. Mm. So therefore the the  Brothers are divided. And anyway the thing that I remem recall vividly, this happened in nineteen early nineteen ",twenty ,eight. ,It ,was ,years ,"later that I knew all about it. But the Rockefeller Brothers as you probably know, have spent millions of dollars in redoing er Williamsburg, Virginia which was the colonial capital. And also where   from  taught at William and Mary College. And is buried there. And er William The college of William and Mary is",c,EMPTY,part.giv,fact,canonical,adv,HET,Gwynedd County Council tape 13: interview for oral history project. Sample containing about 7235 words speech recorded in leisure context,7291,8392,7363,805,567,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,e,c,e
561,"  him first to Connor's Quay to join a sh erm ship there. I forget her name. Well anyhow when we went there, I told er the captain like. Well what do you want? he says to me. Well I've been sent from Bangor. There was a sailing er what do they call it, a  ",here  ,and ,it ,was ,him ,"that he asked would could you send a boy there. So I took my brother who was younger than me, about four or five years see. The first ship he went in, he was  for about two years. And then he left her and he went with this   three masted top schooner she was, very fine ",c,EMPTY,part.giv,fact,IP,NP,HEU,Gwynedd County Council tape 14: interview for oral history project. Sample containing about 8179 words speech recorded in leisure context,8305,9848,8337,1161,874,1985-1993,spoken_context,leisure,---,---,---,dialogue,midlands,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
569," ealed, people coming out of the the buildings out there with guns and what have you. There was some reference to it as being their country. I I would not go out there on to their property without letting them have knowledge that I was coming to their property. But of all Koresh's ",dubious ,activities ,it ,was ,gun ,dealing that would bring him in to conflict with authority. One of his members had a dealers license and drove to cities like Houston to buy and sell at gun fairs. Koresh financed his sect by trading in weapons. A common place enough business in Texas. This was Koresh's business premises. A building near Mount ,c,EMPTY,new,fact,IP,NP,HE3,Panorama: the Branch Davidian sect: documentary. Sample containing about 5897 words speech recorded in leisure context,5958,6682,5986,608,401,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:documentary,c,c,c
575," lems, and we could end up paying far more than we had anticipated for the needed goods and services. Three weeks later in another memo he wrote. I continue to have graver concerns that four months is simply not enough time for any vendor other than G Tec to implement a turnkey online ",gaming ,system. ,It ,was ,memos ,"like these that concerned politicians like state senator Tom , better known as Jane Fonda's ex-husband, he teaches at a religious college in Oakland. He dislikes gaming, but he is also concerned about the way in which the contract was awarded. The largest er state contract in the history of the state of California, somethin",c,EMPTY,new,un,IP,NP,HE6,The Money Programme: documentary. Sample containing about 5940 words speech recorded in leisure context,6033,6650,6075,534,254,1985-1993,spoken_context,leisure,---,---,---,dialogue,south,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:brdcast:documentary,c,c,c
586,"  . No the li the lights was on in the tunnel. Oh yes. Yeah. Oh yes  you could leave the lights in the tunnel but they could see the lights that were, any light about the station, they could Yeah. see that . Ah I see what you mean . Yeah. Yeah. Yeah Were very particular about lights they ",I ,think ,it ,was ,about ,a hundred feet in the entrance that there were  Yeah. there was no lights at night. So as the light wouldn't have reflected through the entrance. Oh I see. Yeah. Mhm. Mhm. Mhm. And then they had a tip outside where the lorries backed into Mm. to pick up the s the er muck out ,c,EMPTY,part.giv,fact,canonical,adv,HE9,Orkney Sound Archive tape OSA 337: interview for oral history project. Sample containing about 6196 words speech recorded in leisure context,6171,7588,6214,1154,1239,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
587,  or while you were building it and once it was up. When we were working on it it was just a  load of excavations. Mhm. And you could see all the tunnels going in below. And the tunnels at the top and the shafts down to the top. mhm. To get ready for putting the arches ,in. ,Mhm. ,It ,was ,only ,when you blasted the centre out that you actually  Yeah. Yeah. saw the big Yeah. Right. cavity then when the roof was secure. Mhm. Did you did you go up right through the hill at all to get light? Never you would stay a good bit underneath  No no. No there'd be there'd be ,c,EMPTY,new,fact,canonical,clause,HE9,Orkney Sound Archive tape OSA 337: interview for oral history project. Sample containing about 6196 words speech recorded in leisure context,6171,7588,6214,1154,1239,1985-1993,spoken_context,leisure,---,---,---,dialogue,north,---,---,---,---,---,---,---,---,---,---,---,---,unclaimed,spoken,spoken_other,S:interview:oral_history,c,c,c
